path,gt,gt_name,pred,pred_name,p_real,p_fake,p_filter,correct
C:\My_Project\AIGC\lfw\Rebecca_Romijn-Stamos\Rebecca_Romijn-Stamos_0002.jpg,0,real,0,real,0.9358120560646057,0.05117660015821457,0.013011360540986061,1
C:\My_Project\AIGC\lfw\Cathy_Freeman\Cathy_Freeman_0002.jpg,0,real,2,filter,0.44385090470314026,0.09944599121809006,0.4567031264305115,0
C:\My_Project\AIGC\lfw\Tim_Conway\Tim_Conway_0001.jpg,0,real,0,real,0.9370012879371643,0.03912882134318352,0.023869957774877548,1
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0007.jpg,0,real,0,real,0.9412994980812073,0.036896415054798126,0.02180403843522072,1
C:\My_Project\AIGC\lfw\Florencia_Kirchner\Florencia_Kirchner_0001.jpg,0,real,0,real,0.5319640636444092,0.08876905590295792,0.3792668879032135,1
C:\My_Project\AIGC\lfw\Thomas_Bjorn\Thomas_Bjorn_0001.jpg,0,real,0,real,0.9430883526802063,0.04010189697146416,0.0168097373098135,1
C:\My_Project\AIGC\lfw\Carlos_Menem\Carlos_Menem_0002.jpg,0,real,0,real,0.9550874829292297,0.035861410200595856,0.009051092900335789,1
C:\My_Project\AIGC\lfw\Rosny_Desroches\Rosny_Desroches_0001.jpg,0,real,0,real,0.9567807912826538,0.030324790626764297,0.012894434854388237,1
C:\My_Project\AIGC\lfw\Tiger_Woods\Tiger_Woods_0023.jpg,0,real,2,filter,0.21275974810123444,0.06441585719585419,0.7228245139122009,0
C:\My_Project\AIGC\lfw\Michael_Douglas\Michael_Douglas_0001.jpg,0,real,0,real,0.9483990669250488,0.03656797483563423,0.015032943338155746,1
C:\My_Project\AIGC\lfw\Bob_Stoops\Bob_Stoops_0001.jpg,0,real,0,real,0.9349820017814636,0.039380528032779694,0.025637464597821236,1
C:\My_Project\AIGC\lfw\Norah_Jones\Norah_Jones_0005.jpg,0,real,0,real,0.9489153623580933,0.03390655294060707,0.017178073525428772,1
C:\My_Project\AIGC\lfw\Jong_Wook_Lee\Jong_Wook_Lee_0001.jpg,0,real,2,filter,0.06184551119804382,0.09772030264139175,0.840434193611145,0
C:\My_Project\AIGC\lfw\Ana_Palacio\Ana_Palacio_0005.jpg,0,real,0,real,0.9479748606681824,0.03856431692838669,0.013460725545883179,1
C:\My_Project\AIGC\lfw\Brian_StPierre\Brian_StPierre_0001.jpg,0,real,0,real,0.952521800994873,0.03490301966667175,0.012575116008520126,1
C:\My_Project\AIGC\lfw\Federico_Trillo\Federico_Trillo_0001.jpg,0,real,0,real,0.9314948916435242,0.04350212216377258,0.025003010407090187,1
C:\My_Project\AIGC\lfw\Gary_Gitnick\Gary_Gitnick_0001.jpg,0,real,0,real,0.956157386302948,0.0338144488632679,0.010028091259300709,1
C:\My_Project\AIGC\lfw\Lyle_Vanclief\Lyle_Vanclief_0001.jpg,0,real,0,real,0.941409707069397,0.03534969314932823,0.0232405923306942,1
C:\My_Project\AIGC\lfw\Mikhail_Youzhny\Mikhail_Youzhny_0001.jpg,0,real,0,real,0.9461809992790222,0.032596081495285034,0.02122286707162857,1
C:\My_Project\AIGC\lfw\Eduard_Limonov\Eduard_Limonov_0001.jpg,0,real,0,real,0.9101624488830566,0.050733618438243866,0.0391039103269577,1
C:\My_Project\AIGC\lfw\Stephanie_Cohen_Aloro\Stephanie_Cohen_Aloro_0001.jpg,0,real,0,real,0.9138016700744629,0.04827544838190079,0.037922803312540054,1
C:\My_Project\AIGC\lfw\Richard_Krajicek\Richard_Krajicek_0003.jpg,0,real,0,real,0.9387112259864807,0.04028179869055748,0.02100704237818718,1
C:\My_Project\AIGC\lfw\Shamai_Leibowitz\Shamai_Leibowitz_0001.jpg,0,real,0,real,0.9408619999885559,0.049740348011255264,0.009397629648447037,1
C:\My_Project\AIGC\lfw\Michael_Dell\Michael_Dell_0001.jpg,0,real,0,real,0.9151394367218018,0.047444943338632584,0.03741572052240372,1
C:\My_Project\AIGC\lfw\Kate_Hudson\Kate_Hudson_0009.jpg,0,real,0,real,0.953399658203125,0.03969256952404976,0.0069077275693416595,1
