path,gt,gt_name,pred,pred_name,p_real,p_fake,p_filter,correct
C:\My_Project\AIGC\lfw\Rebecca_Romijn-Stamos\Rebecca_Romijn-Stamos_0002.jpg,0,real,0,real,0.9239623546600342,0.05766923725605011,0.018368445336818695,1
C:\My_Project\AIGC\lfw\Cathy_Freeman\Cathy_Freeman_0002.jpg,0,real,0,real,0.9158458709716797,0.06530757248401642,0.018846528604626656,1
C:\My_Project\AIGC\lfw\Tim_Conway\Tim_Conway_0001.jpg,0,real,0,real,0.9452084898948669,0.04406483471393585,0.010726667940616608,1
C:\My_Project\AIGC\lfw\Gerhard_Schroeder\Gerhard_Schroeder_0007.jpg,0,real,0,real,0.9224644899368286,0.05092664062976837,0.026608889922499657,1
C:\My_Project\AIGC\lfw\Florencia_Kirchner\Florencia_Kirchner_0001.jpg,0,real,0,real,0.931125283241272,0.05388756841421127,0.01498714555054903,1
C:\My_Project\AIGC\lfw\Thomas_Bjorn\Thomas_Bjorn_0001.jpg,0,real,0,real,0.9364359378814697,0.051450882107019424,0.012113135308027267,1
C:\My_Project\AIGC\lfw\Carlos_Menem\Carlos_Menem_0002.jpg,0,real,0,real,0.9256535172462463,0.054894328117370605,0.019452232867479324,1
C:\My_Project\AIGC\lfw\Rosny_Desroches\Rosny_Desroches_0001.jpg,0,real,0,real,0.934185266494751,0.05107296258211136,0.014741751365363598,1
C:\My_Project\AIGC\lfw\Tiger_Woods\Tiger_Woods_0023.jpg,0,real,0,real,0.9501599669456482,0.033166225999593735,0.01667381450533867,1
C:\My_Project\AIGC\lfw\Michael_Douglas\Michael_Douglas_0001.jpg,0,real,0,real,0.9244373440742493,0.05745712295174599,0.018105534836649895,1
C:\My_Project\AIGC\lfw\Bob_Stoops\Bob_Stoops_0001.jpg,0,real,0,real,0.9338452816009521,0.05017216131091118,0.015982555225491524,1
C:\My_Project\AIGC\lfw\Norah_Jones\Norah_Jones_0005.jpg,0,real,0,real,0.9298747777938843,0.05299482122063637,0.017130417749285698,1
C:\My_Project\AIGC\lfw\Jong_Wook_Lee\Jong_Wook_Lee_0001.jpg,0,real,0,real,0.9076036810874939,0.04891475662589073,0.04348158836364746,1
C:\My_Project\AIGC\lfw\Ana_Palacio\Ana_Palacio_0005.jpg,0,real,0,real,0.9360907673835754,0.05492131784558296,0.008988014422357082,1
C:\My_Project\AIGC\lfw\Brian_StPierre\Brian_StPierre_0001.jpg,0,real,0,real,0.9273838400840759,0.05020518973469734,0.022410940378904343,1
