source,condition,fake_image_path,fake_orig_resolution,fake_crop_scale,fake_tex_local_variance_std,matched_real_image_path,matched_real_source,matched_real_orig_resolution,matched_real_crop_scale,matched_real_tex_local_variance_std,standardized_distance,caliper,valid_match
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_425.jpg,65536,0.3240482714552649,417.5821838378906,C:\My_Project\AIGC\AIGuard\unseen\Real_79.jpg,aiguard_unseen_real,65536.0,0.6193729553134679,544.6491088867188,0.0,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_450.jpg,65536,0.3129931424720666,400.5728149414063,C:\My_Project\AIGC\lfw\Isidro_Pastor\Isidro_Pastor_0001.jpg,lfw,62500.0,0.1656100526970755,788.04931640625,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_270.jpg,65536,0.262369124699809,280.6663818359375,C:\My_Project\AIGC\lfw\Suzanne_Torrance\Suzanne_Torrance_0001.jpg,lfw,62500.0,0.1417085348952803,1264.533447265625,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_219.jpg,65536,0.3630762705790126,492.7621154785156,C:\My_Project\AIGC\lfw\Michael_Doleac\Michael_Doleac_0001.jpg,lfw,62500.0,0.159969072523546,890.4072265625,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_301.jpg,65536,0.3590415754563257,396.17718505859375,C:\My_Project\AIGC\lfw\Fernando_Velardez\Fernando_Velardez_0001.jpg,lfw,62500.0,0.1569704352931049,951.718017578125,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_162.jpg,65536,0.2621112178956804,585.9560546875,C:\My_Project\AIGC\lfw\Todd_Haynes\Todd_Haynes_0003.jpg,lfw,62500.0,0.1788529063485987,716.2388305664062,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_318.jpg,65536,0.1926616423480871,605.1008911132812,C:\My_Project\AIGC\lfw\Mack_Brown\Mack_Brown_0002.jpg,lfw,62500.0,0.1981202834012204,1292.4700927734375,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_233.jpg,65536,0.2829626994243924,809.1231079101562,C:\My_Project\AIGC\lfw\Eric_Lloyd\Eric_Lloyd_0001.jpg,lfw,62500.0,0.1864346103546277,920.3864135742188,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_255.jpg,65536,0.2957161262998778,252.66143798828125,C:\My_Project\AIGC\lfw\Franco_Frattini\Franco_Frattini_0001.jpg,lfw,62500.0,0.167735687397713,590.1715087890625,0.03499743616891604,0.2,True
aiguard_unseen,resolution_matched,C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,65536,0.3089404794704883,426.0506896972656,C:\My_Project\AIGC\lfw\Laura_Schlessinger\Laura_Schlessinger_0001.jpg,lfw,62500.0,0.1915570528637176,639.376708984375,0.03499743616891604,0.2,True
