image_path,class,source,orig_width,orig_height,orig_resolution,freq_spectral_entropy,freq_band_ratio_high_mid,freq_band_ratio_high_low,freq_band_ratio_mid_low,freq_high_energy_frac,freq_radial_powerlaw_slope,freq_powerlaw_residual_std,freq_logmag_mean,tex_local_variance_mean,tex_local_variance_std,tex_lbp_entropy,tex_lbp_uniformity,tex_glcm_contrast,tex_glcm_homogeneity,tex_glcm_energy,tex_highpass_energy,tex_autocorr_peak_sharpness,lm_symmetry_score,lm_interocular_over_facewidth,lm_mouthwidth_over_interocular,lm_pose_yaw_proxy,face_bbox_x0,face_bbox_x1,face_bbox_y0,face_bbox_y1,face_size_confound,boundary_margin_px,bnd_boundary_edge_contrast,bnd_ring_texture_diff,bnd_ring_mean_diff,v811_fake_prob
C:\My_Project\AIGC\celeba_test\197862.jpg,real,celeba_test,178,218,38804,0.14196989425689058,0.10130294412374496,0.00917881727218628,0.09060761332511902,0.000737953872885555,-3.465837622509144,0.5688067929987306,1.4723877906799316,280.1979064941406,887.2460327148438,1.9975351047481855,0.16890190899843774,9.021686576638945,0.6309185236877861,0.11366618978002078,5.466003894805908,34.2615852355957,0.27817946672439575,0.4186978920594437,0.7189103527376293,0.49813178181648254,44.799110412597656,148.72195434570312,79.9771957397461,182.35049438476562,0.21203213364962456,41.649505615234375,82.4669418334961,20.876392364501953,45.8017578125,
C:\My_Project\AIGC\celeba_test\190181.jpg,real,celeba_test,178,218,38804,0.11783782932063548,0.07758370041847229,0.010151173919439316,0.13084158301353455,0.0005191957461647689,-3.83936117706057,1.014569376809939,0.9814399480819702,140.0374298095703,304.0163269042969,2.033831880810712,0.15625046472259485,4.626904143582637,0.6456651785923062,0.1341343523068422,4.901122093200684,27.760101318359375,0.208342045545578,0.42331780696324817,0.964488848393776,0.36427992582321167,48.2136344909668,155.92752075195312,83.26388549804688,194.7902069091797,0.23941592593241717,29.209793090820312,65.37834930419922,12.44089126586914,18.35126495361328,
C:\My_Project\AIGC\celeba_test\188106.jpg,real,celeba_test,178,218,38804,0.11446524359005317,0.0374654121696949,0.004694208037108183,0.12529444694519043,0.00023454942856915295,-4.158064795745062,1.0089128961376703,0.7261503338813782,151.8712615966797,405.4101867675781,1.9419657410468796,0.17469151285180248,5.039051535087716,0.6959989179690126,0.23143382090346026,4.263652801513672,29.376367568969727,0.2565712332725525,0.4120957837706217,0.9902243046798038,-0.47767430543899536,67.05549621582031,184.38388061523438,76.68599700927734,191.9676055908203,0.26956722109849457,32.03239440917969,51.73291015625,6.400690078735352,13.956069946289062,
C:\My_Project\AIGC\celeba_test\194500.jpg,real,celeba_test,178,218,38804,0.10236576667597956,0.07333529740571976,0.006880390457808971,0.09382098913192749,0.00040312105556949973,-3.888634160204417,1.0208162272626746,0.8295942544937134,110.7060317993164,241.4134979248047,2.0981751203067533,0.1484699336651314,3.6438408933518014,0.5998787724604818,0.17721635371297945,4.74780797958374,46.98939514160156,0.03148912638425827,0.45984458022148983,0.8140729162882954,-0.051592763513326645,61.95287322998047,164.69412231445312,81.03524780273438,185.66854858398438,0.2142489640086287,38.331451416015625,55.0628776550293,0.876922607421875,0.3702545166015625,
C:\My_Project\AIGC\celeba_test\189029.jpg,real,celeba_test,178,218,38804,0.1485950886557498,0.08315140008926392,0.0034937639720737934,0.0420168973505497,0.000301012652926147,-4.39174177589389,1.223269070001348,0.2781527042388916,179.5443878173828,453.84124755859375,1.8455389862532694,0.20949346231748936,6.0954432132963925,0.5882915344178676,0.12073904311163056,4.727760314941406,17.105390548706055,0.20901930332183838,0.433676379968762,0.7499903967909821,-0.3464045226573944,67.354736328125,175.44017028808594,80.1605453491211,191.25173950195312,0.23930444692959035,32.748260498046875,47.035396575927734,34.76134490966797,14.565971374511719,
C:\My_Project\AIGC\celeba_test\192749.jpg,real,celeba_test,178,218,38804,0.26384296422195613,0.06927385926246643,0.0045304447412490845,0.06539905816316605,0.0008142729639075696,-4.393663799924193,1.3190546222394823,0.3888750970363617,192.92410278320312,507.1786804199219,1.9650104191731355,0.16978870774745344,6.479144736842084,0.6595818072986535,0.19984239515422925,4.711142539978027,15.001152992248535,0.023862289264798164,0.42218535594877626,0.8391545833868542,0.03429364040493965,58.57715606689453,163.56419372558594,79.75357055664062,193.15853881835938,0.2372857874995171,30.841461181640625,79.13423156738281,14.063987731933594,2.5813522338867188,
C:\My_Project\AIGC\celeba_test\197262.jpg,real,celeba_test,178,218,38804,0.24126141530021006,0.04506974294781685,0.002255035564303398,0.050034355372190475,0.0003884899488184601,-4.3585214805784736,1.0166821874409497,0.8027216196060181,277.29046630859375,827.7601318359375,1.9972190028062367,0.16031486816279145,9.173863111726664,0.6987256629713094,0.24341595420699944,4.970455169677734,28.46343421936035,0.26707759499549866,0.41617265547185955,0.8336821143194708,0.46693500876426697,46.053070068359375,150.5662078857422,79.73637390136719,183.31076049804688,0.2157382840547208,40.689239501953125,75.58226776123047,30.172576904296875,74.17078399658203,
C:\My_Project\AIGC\celeba_test\200056.jpg,real,celeba_test,178,218,38804,0.17631454815818282,0.11378242820501328,0.007857419550418854,0.06905652582645416,0.000807716220151633,-3.5948895817791007,0.581509635073936,1.5968003273010254,373.00445556640625,1116.1932373046875,2.083917714963695,0.14495114076639004,12.045847760849473,0.6242138084603782,0.1793631862639602,6.7393107414245605,36.0179557800293,0.17186476290225983,0.41924617536734227,1.0930293331966197,-0.29769712686538696,60.64214324951172,181.770263671875,78.85263061523438,196.62969970703125,0.2843214885192955,27.37030029296875,85.7303466796875,26.851417541503906,71.58714294433594,
C:\My_Project\AIGC\celeba_test\196483.jpg,real,celeba_test,178,218,38804,0.1930261204547003,0.09090562164783478,0.00843198224902153,0.09275534749031067,0.0007996661588549614,-3.742671588032414,0.8167099991647674,1.1904031038284302,181.05084228515625,416.1045837402344,2.087287787785333,0.14746219582579526,5.930073868882724,0.6004381319681419,0.12565191117953955,5.519474029541016,27.247032165527344,0.016071651130914688,0.4554584593994131,0.8374361500751177,-0.01623663492500782,59.341670989990234,164.67544555664062,80.12166595458984,184.23178100585938,0.2185569074640956,39.768218994140625,81.72489166259766,2.1675338745117188,36.64051818847656,
C:\My_Project\AIGC\celeba_test\201809.jpg,real,celeba_test,178,218,38804,0.15545028039373157,0.10701816529035568,0.00947873666882515,0.08857128769159317,0.0009581927442923188,-3.6864520384660113,0.8793832993612928,1.294478416442871,268.1341857910156,864.7620239257812,2.0194164660787117,0.16035052390458035,8.618652469990757,0.6557338049280257,0.2197108546196998,5.913295269012451,32.08707809448242,0.26412233710289,0.4170442490928536,0.7883270696825517,-0.47806254029273987,72.1206283569336,179.72547912597656,79.91764831542969,186.30186462402344,0.2281460801990557,37.69813537597656,61.92918014526367,0.3916969299316406,8.048324584960938,
